date,dfm,bvar,beq,ensemble,actual_gdp_pct,investment,exports_comp,imports_comp,investment_actual,exports_comp_actual,imports_comp_actual,dfm_backcast,dfm_forecast,bvar_backcast,bvar_forecast,beq_backcast,beq_forecast,consumption,government,consumption_actual,government_actual,imports_identity,ar1,consumption_ar1,investment_ar1,government_ar1,exports_comp_ar1,imports_comp_ar1,consumption_bvar,investment_bvar,government_bvar,exports_comp_bvar,imports_comp_bvar,consumption_beq,investment_beq,government_beq,exports_comp_beq,imports_comp_beq,consumption_naive,investment_naive,government_naive,exports_comp_naive,imports_comp_naive,naive,bvar_ci_10,bvar_ci_90,consumption_dfm,investment_dfm,government_dfm,exports_comp_dfm,imports_comp_dfm,actual_yoy_gdp,dfm_yoy,bvar_yoy,ensemble_yoy,sector_actuals,sector_agriculture,sector_mining,sector_manufacturing,sector_construction,sector_services,target_quarter,dfm_qoq,dfm_backcast_qoq,dfm_forecast_qoq,bvar_qoq,bvar_backcast_qoq,bvar_forecast_qoq,beq_qoq,beq_backcast_qoq,beq_forecast_qoq,ensemble_qoq,actual,actual_qoq,ar1_yoy,sector_actuals_json
2026-05-26,2.14,0.92,1.09,1.09,-0.01,5.24,4.05,4.7,7.3,5.2,4.6,1.78,1.18,0.99,0.53,1.05,1.05,7.47,4.65,4.7,4.1,10.99,1.46,5.12,5.41,4.26,4.93,4.75,4.73,6.92,4.14,4.79,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-Q2,,,,,,,,,,,,,,
2026-05-27,2.39,0.91,1.07,1.07,-0.01,7.31,5.17,4.58,7.3,5.2,4.6,2.06,1.12,0.95,0.53,1.06,1.06,4.71,4.12,4.7,4.1,9.75,1.46,5.12,5.41,4.26,4.93,4.75,,,,,,,,,,,4.7,7.3,4.1,5.2,4.6,-0.01,-2.03,-2.01,5.17,5.24,4.65,4.07,4.71,,,,,,,,,,,2026-Q2,,,,,,,,,,,,,,
2026-05-28,9.86,4.17,1.08,7.02,-0.01,7.31,5.16,4.58,7.3,5.2,4.6,2.3,0.14,0.93,0.52,1.05,1.05,4.75,4.13,4.7,4.1,4.33,1.46,5.12,5.41,4.26,4.93,4.75,,,,,,,,,,,4.7,7.3,4.1,5.2,4.6,-0.01,-2.02,-2.01,5.21,5.25,4.65,4.11,4.71,5.4,9.86,4.17,7.02,"{'agriculture': np.float64(2.6), 'mining': np.float64(-2.1), 'manufacturing': np.float64(5.9), 'construction': np.float64(7.7), 'services': np.float64(5.6)}",,,,,,2026-Q2,5.79,,,0.9,,,,,,1.38,,,,
2026-05-29,8.21,4.19,1.07,6.2,-0.01,9.31,6.27,8.98,7.3,5.2,4.6,1.4,2.36,0.96,0.74,1.06,1.06,6.05,6.58,4.7,4.1,13.7,1.46,5.12,5.41,4.26,4.93,4.75,,,,,,,,,,,4.7,7.3,4.1,5.2,4.6,-0.01,,,5.01,4.23,4.72,4.05,4.72,5.4,8.21,4.19,6.2,"{'agriculture': np.float64(2.6), 'mining': np.float64(-2.1), 'manufacturing': np.float64(5.9), 'construction': np.float64(7.7), 'services': np.float64(5.6)}",,,,,,2026-Q2,2.23,,,0.95,,,,,,1.04,,,,
2026-05-30,9.04,4.08,,6.56,-0.01,9.12,6.34,9.08,7.3,5.2,4.6,5.27,,3.39,,,,4.92,6.63,4.7,4.1,,1.46,5.12,5.41,4.26,4.93,4.75,,,,,,6.22,6.68,6.25,3.72,8.26,4.7,7.3,4.1,5.2,4.6,-0.01,,,10.3,1.56,4.87,10.25,14.25,5.4,,,,"{""agriculture"": 2.6, ""mining"": -2.1, ""manufacturing"": 5.9, ""construction"": 7.7, ""services"": 5.6}",0.85,-1.05,4.26,4.24,8.49,2026-Q2,2.69,-0.02,3.35,,0.86,0.6,1.08,1.04,1.02,1.89,5.4,,,
2026-06-01,8.52,3.88,,6.2,-0.01,9.12,6.74,8.39,7.3,5.2,4.6,4.78,,3.36,,,,4.8,6.63,4.7,4.1,,1.46,5.12,5.41,4.26,4.93,4.75,,,,,,6.16,6.68,6.25,3.7,8.26,4.7,7.3,4.1,5.2,4.6,-0.01,,,10.51,2.23,4.87,10.38,14.58,5.4,,,,"{""agriculture"": 2.6, ""mining"": -2.1, ""manufacturing"": 5.9, ""construction"": 7.7, ""services"": 5.6}",0.85,-1.05,4.28,4.23,8.48,2026-Q2,2.69,0.72,2.27,,0.78,0.67,1.08,1.05,1.02,1.89,5.4,,,
2026-06-02,8.59,,,,-0.01,,,,7.3,5.2,4.6,4.79,,5.4,,,,,5.81,4.7,4.1,,1.46,5.12,5.41,4.26,4.93,4.75,,,,,,6.16,6.68,6.25,3.9,8.26,4.7,7.3,4.1,5.2,4.6,-0.01,,,10.44,2.23,4.87,10.17,14.63,5.4,,,,"{""agriculture"": 2.6, ""mining"": -2.1, ""manufacturing"": 5.9, ""construction"": 7.7, ""services"": 5.6}",0.85,-1.05,4.27,4.23,8.48,2026-Q2,2.79,0.73,2.24,,,,1.08,1.05,1.02,,5.4,,,
2026-06-03,6.25,5.1,,5.67,-0.01,7.5,5.93,7.38,7.3,5.2,4.6,5.82,,3.88,,,,5.6,5.83,4.7,4.1,,1.46,5.12,5.41,4.26,4.93,4.75,,,,,,6.13,7.16,7.47,3.88,8.77,4.7,7.3,4.1,5.2,4.6,-0.01,,,8.77,1.55,5.52,1.91,5.93,5.4,,,,"{""agriculture"": 2.6, ""mining"": -2.1, ""manufacturing"": 5.9, ""construction"": 7.7, ""services"": 5.6}",0.85,-1.05,4.05,9.62,8.22,2026-Q2,5.43,0.38,1.23,,1.18,1.2,1.08,1.04,1.02,3.25,5.4,,5.4,
2026-06-04,5.62,,,5.62,-0.01,1.01,1.27,3.31,7.3,5.2,4.6,5.8,,,,,,8.5,6.48,4.7,4.1,,1.46,5.12,5.41,4.26,4.93,4.75,,,,,,6.06,6.91,7.39,3.83,8.29,4.7,7.3,4.1,5.2,4.6,-0.01,,,8.5,1.01,6.48,1.27,3.31,5.4,,,,,0.85,-1.05,4.07,9.34,8.22,2026-Q2,5.36,0.39,1.34,,,,1.07,1.04,1.02,3.22,5.4,,5.4,"{""agriculture"": 2.6, ""mining"": -2.1, ""manufacturing"": 5.9, ""construction"": 7.7, ""services"": 5.6}"
2026-06-05,5.41,,,5.41,-0.01,1.01,1.28,5.82,7.3,5.2,4.6,5.79,,,,,,8.41,6.48,4.7,4.1,,1.46,5.12,5.41,4.26,4.93,4.75,,,,,,6.06,6.91,7.39,3.77,8.64,4.7,7.3,4.1,5.2,4.6,-0.01,,,8.41,1.01,6.48,1.28,5.82,5.4,,,,,0.85,-1.05,4.07,9.34,8.22,2026-Q2,5.24,0.37,1.31,,,,1.07,1.04,1.02,3.16,5.4,,5.4,"{""agriculture"": 2.6, ""mining"": -2.1, ""manufacturing"": 5.9, ""construction"": 7.7, ""services"": 5.6}"
